responden_id,Q1. Apakah Anda bersedia menjadi responden dalam penelitian ini?,Apakah Anda memenuhi seluruh kriteria responden di atas?,jenis_kelamin,usia,semester,uang_saku_bulanan,perguruan_tinggi,frekuensi_penggunaan,jenis_transaksi_dominan,jumlah_ewallet_aktif_raw,ewallet_utama,ewallet_digunakan,lama_penggunaan,nominal_transaksi,pengeluaran_ewallet_bulanan,alasan_utama,kondisi_penggunaan,promo_memengaruhi,frekuensi_pindah_promo,Q22/S1.1. E-wallet membantu saya melakukan transaksi dengan lebih cepat.,Q23/S1.2. E-wallet membuat aktivitas pembayaran saya menjadi lebih praktis.,Q24/S1.3. E-wallet membantu saya memenuhi kebutuhan transaksi sehari-hari.,Q25/S1.4. E-wallet lebih efisien dibandingkan pembayaran tunai dalam beberapa situasi.,Q26/S2.1. Aplikasi e-wallet mudah saya gunakan.,Q27/S2.2. Fitur-fitur pada e-wallet mudah saya pahami.,Q28/S2.3. Saya tidak mengalami kesulitan saat melakukan transaksi menggunakan e-wallet.,Q29/S2.4. Proses top-up saldo e-wallet mudah dilakukan.,Q30/S3.1. Saya merasa saldo saya aman saat menggunakan e-wallet.,Q31/S3.2. Saya merasa transaksi menggunakan e-wallet terlindungi dengan baik.,"Q32/S3.3. Fitur keamanan seperti PIN, OTP, atau verifikasi biometrik membuat saya merasa lebih aman.",Q33/S3.4. Saya merasa data pribadi saya aman saat menggunakan e-wallet.,Q34/S4.1. Saya percaya penyedia e-wallet mampu menjaga keamanan transaksi saya.,Q35/S4.2. Saya percaya penyedia e-wallet akan membantu jika terjadi masalah transaksi.,Q36/S4.3. Saya percaya informasi pribadi saya dikelola dengan baik oleh penyedia e-wallet.,Q37/S4.4. Saya merasa nyaman menyimpan saldo di aplikasi e-wallet.,Q38/S5.1. Promo atau cashback membuat saya lebih tertarik menggunakan e-wallet.,Q39/S5.2. Saya lebih sering menggunakan e-wallet ketika ada promo atau diskon.,Q40/S5.3. Saya memilih e-wallet tertentu karena promo yang ditawarkan lebih menarik.,Q41/S5.4. Promo atau cashback menjadi salah satu alasan utama saya menggunakan e-wallet.,Q42/S6.1. Saya khawatir saldo e-wallet saya dapat hilang karena kesalahan sistem atau penyalahgunaan akun.,Q43/S6.2. Saya khawatir data pribadi saya disalahgunakan saat menggunakan e-wallet.,Q44/S6.3. Saya merasa penggunaan e-wallet memiliki risiko keamanan tertentu.,Q45/S6.4. Saya ragu menggunakan e-wallet untuk transaksi dengan nominal besar.,fitur_dibutuhkan,perlu_ditingkatkan,niat_lanjut,kepuasan,saran,S1_kegunaan_mean,S2_kemudahan_mean,S3_keamanan_mean,S4_kepercayaan_mean,S5_promo_insentif_mean,S6_persepsi_risiko_mean,jumlah_ewallet_dari_multiselect,jumlah_ewallet_outlier_flag,jumlah_ewallet_aktif_clean,usia_clean,semester_encoded,uang_saku_encoded,frekuensi_penggunaan_encoded,lama_penggunaan_encoded,nominal_transaksi_encoded,pengeluaran_ewallet_bulanan_encoded,promo_memengaruhi_encoded,frekuensi_pindah_promo_encoded,niat_lanjut_encoded,kepuasan_encoded,cluster,nama_segmen
141,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,22.0,Semester 9 atau lebih,Rp1.500.000 – Rp1.999.999,Universitas Gadjah Mada,"Jarang, 1–2 kali dalam seminggu",Pembelian pulsa / paket data,2.0,ShopeePay,"GoPay, OVO, ShopeePay",6 bulan – kurang dari 1 tahun,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Tidak perlu membawa uang tunai,Saat melakukan pembayaran rutin,Sangat memengaruhi,Sangat sering,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,Top-up mudah dan murah,Kemudahan top-up,Sangat berniat,4.0,,4.25,4.75,4.5,4.5,4.5,4.5,3,False,2.0,22.0,9.0,4,2,2,2,2,5,5,5,4.0,1,Pengguna Aktif Responsif Promo
142,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,19.0,Semester 2,Rp2.000.000 – Rp2.999.999,Universitas Islam Negeri Sumatera Utara,"Sangat sering, lebih dari 10 kali dalam seminggu",Transfer ke teman / orang lain,5.0,DANA,"DANA, GoPay, OVO, ShopeePay, LinkAja",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Memengaruhi,Sering,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,Transfer gratis,Biaya admin,Berniat,4.0,,4.5,4.75,4.0,4.25,4.0,4.5,5,False,5.0,19.0,2.0,5,5,5,4,5,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
143,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,20.0,Semester 3,Rp500.000 – Rp999.999,Universitas Sumatera Utara,"Sering, 6–10 kali dalam seminggu",Transfer ke teman / orang lain,3.0,OVO,"DANA, GoPay, OVO, ShopeePay, LinkAja",2 tahun – kurang dari 3 tahun,Rp100.000 – Rp199.999,Rp500.000 – Rp999.999,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Tidak memengaruhi,Tidak pernah,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,Integrasi dengan aplikasi belanja/transportasi,Kecepatan transaksi,Tidak berniat,2.0,,1.25,1.5,2.5,1.5,1.5,1.5,5,False,3.0,20.0,3.0,2,4,4,4,4,2,1,2,2.0,2,Pengguna Positif Moderat/Selektif
144,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 7,Rp1.500.000 – Rp1.999.999,Universitas Padjadjaran,"Jarang, 1–2 kali dalam seminggu",Pembelian pulsa / paket data,2.0,ShopeePay,ShopeePay,6 bulan – kurang dari 1 tahun,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Tidak perlu membawa uang tunai,Saat melakukan pembayaran rutin,Sangat memengaruhi,Sering,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,Cashback transaksi,Jumlah promo/cashback,Sangat berniat,5.0,,4.25,4.5,4.25,4.25,4.75,4.25,1,False,2.0,21.0,7.0,4,2,2,2,2,5,4,5,5.0,1,Pengguna Aktif Responsif Promo
145,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 7,Kurang dari Rp500.000,Universitas Diponegoro,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,3.0,DANA,"DANA, GoPay, ShopeePay",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Praktis dan cepat,Saat membeli makanan/minuman,Memengaruhi,Sering,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,Promo makanan/minuman,Jumlah promo/cashback,Berniat,5.0,,4.25,4.75,4.5,4.5,4.5,4.5,3,False,3.0,21.0,7.0,1,4,4,2,4,4,4,4,5.0,1,Pengguna Aktif Responsif Promo
146,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,18.0,Semester 1,Rp500.000 – Rp999.999,Universitas Islam Negeri Sumatera Utara,"Cukup sering, 3–5 kali dalam seminggu",Pembelian makanan/minuman,2.0,OVO,"GoPay, OVO, ShopeePay",1 tahun – kurang dari 2 tahun,Rp25.000 – Rp49.999,Rp300.000 – Rp499.999,Banyak merchant yang menerima e-wallet,Saat membeli makanan/minuman,Memengaruhi,Sering,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,Pembayaran transportasi,Jumlah merchant yang menerima e-wallet,Berniat,4.0,,4.0,4.0,4.25,4.25,4.5,4.5,3,False,2.0,18.0,1.0,2,3,3,2,3,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
147,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,20.0,Semester 4,Rp2.000.000 – Rp2.999.999,Universitas Widya Dharma,"Sangat sering, lebih dari 10 kali dalam seminggu",Belanja online,4.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay, LinkAja",3 tahun atau lebih,Rp50.000 – Rp99.999,Rp1.000.000 atau lebih,Banyak promo/cashback,Saat belanja online,Tidak memengaruhi,Jarang,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,Transfer gratis,Biaya admin,Sangat tidak berniat,1.0,,1.75,1.25,1.5,1.25,1.25,3.25,5,False,4.0,20.0,4.0,5,5,5,3,5,2,2,1,1.0,2,Pengguna Positif Moderat/Selektif
148,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,22.0,Semester 8,Rp500.000 – Rp999.999,Universitas Negeri Semarang,"Sangat sering, lebih dari 10 kali dalam seminggu",Transfer ke teman / orang lain,4.0,DANA,"DANA, GoPay, OVO, ShopeePay, LinkAja, iSaku",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Memengaruhi,Sering,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Transfer gratis,Biaya admin,Berniat,4.0,,4.25,4.75,4.5,4.25,4.25,4.25,6,False,4.0,22.0,8.0,2,5,5,4,5,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
149,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,22.0,Semester 8,Rp2.000.000 – Rp2.999.999,Universitas Mulawarman,"Sering, 6–10 kali dalam seminggu",Transfer ke teman / orang lain,3.0,OVO,"DANA, GoPay, OVO, ShopeePay, LinkAja",2 tahun – kurang dari 3 tahun,Rp100.000 – Rp199.999,Rp500.000 – Rp999.999,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Sangat memengaruhi,Sering,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Promo makanan/minuman,Jumlah promo/cashback,Berniat,5.0,,4.5,4.0,4.25,4.5,4.75,4.75,5,False,3.0,22.0,8.0,5,4,4,4,4,5,4,4,5.0,1,Pengguna Aktif Responsif Promo
150,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,20.0,Semester 4,Kurang dari Rp500.000,Universitas Brawijaya,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,3.0,GoPay,"DANA, OVO, ShopeePay",1 tahun – kurang dari 2 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Praktis dan cepat,Saat membeli makanan/minuman,Memengaruhi,Sangat sering,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,Transfer gratis,Biaya admin,Berniat,4.0,,4.25,4.5,4.75,4.25,4.25,4.25,3,False,3.0,20.0,4.0,1,4,3,2,4,4,5,4,4.0,1,Pengguna Aktif Responsif Promo
151,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,20.0,Semester 4,Rp500.000 – Rp999.999,Universitas Negeri Semarang,"Jarang, 1–2 kali dalam seminggu",Transfer ke teman / orang lain,2.0,LinkAja,"GoPay, OVO, ShopeePay",6 bulan – kurang dari 1 tahun,Rp50.000 – Rp99.999,Rp100.000 – Rp299.999,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Memengaruhi,Sering,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,Cashback transaksi,Jumlah promo/cashback,Berniat,4.0,,5.0,4.25,4.0,4.5,4.25,4.5,3,False,2.0,20.0,4.0,2,2,2,3,2,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
152,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,20.0,Semester 3,Rp1.500.000 – Rp1.999.999,Universitas Widyatama,"Jarang, 1–2 kali dalam seminggu",Pembelian pulsa / paket data,2.0,LinkAja,"DANA, GoPay, OVO, ShopeePay, LinkAja, iSaku",6 bulan – kurang dari 1 tahun,Rp25.000 – Rp49.999,Rp100.000 – Rp299.999,Tidak perlu membawa uang tunai,Saat melakukan pembayaran rutin,Sangat memengaruhi,Sering,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,Riwayat transaksi yang jelas,Perlindungan data pribadi,Berniat,4.0,,4.5,4.0,4.5,4.25,4.25,4.25,6,False,2.0,20.0,3.0,4,2,2,2,2,5,4,4,4.0,1,Pengguna Aktif Responsif Promo
153,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,18.0,Semester 1,Rp500.000 – Rp999.999,Universitas Brawijaya,"Cukup sering, 3–5 kali dalam seminggu",Pembelian makanan/minuman,2.0,OVO,"DANA, OVO",1 tahun – kurang dari 2 tahun,Rp25.000 – Rp49.999,Rp300.000 – Rp499.999,Banyak merchant yang menerima e-wallet,Saat membeli makanan/minuman,Sangat memengaruhi,Sering,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,Pembayaran transportasi,Jumlah merchant yang menerima e-wallet,Sangat berniat,4.0,,3.75,4.25,4.25,4.25,4.5,4.25,2,False,2.0,18.0,1.0,2,3,3,2,3,5,4,5,4.0,1,Pengguna Aktif Responsif Promo
154,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,19.0,Semester 2,Rp1.500.000 – Rp1.999.999,Universitas Gadjah Mada,"Jarang, 1–2 kali dalam seminggu",Pembayaran tagihan,2.0,LinkAja,"ShopeePay, LinkAja, iSaku",2 tahun – kurang dari 3 tahun,Rp100.000 – Rp199.999,Rp100.000 – Rp299.999,Tidak perlu membawa uang tunai,Saat melakukan pembayaran rutin,Memengaruhi,Sangat sering,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,Integrasi dengan aplikasi belanja/transportasi,Kecepatan transaksi,Sangat berniat,5.0,,4.5,4.5,4.5,4.25,4.5,4.5,3,False,2.0,19.0,2.0,4,2,4,4,2,4,5,5,5.0,1,Pengguna Aktif Responsif Promo
155,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,18.0,Semester 1,Rp1.000.000 – Rp1.499.999,Universitas Negeri Malang,"Sangat jarang, kurang dari 1 kali dalam seminggu",Pembayaran tagihan,1.0,DANA,DANA,6 bulan – kurang dari 1 tahun,Rp100.000 – Rp199.999,Kurang dari Rp100.000,Mudah untuk transfer uang,Saat melakukan pembayaran rutin,Memengaruhi,Sering,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Integrasi dengan aplikasi belanja/transportasi,Kecepatan transaksi,Berniat,5.0,,4.5,4.25,4.5,4.25,4.5,4.25,1,False,1.0,18.0,1.0,3,1,2,4,1,4,4,4,5.0,1,Pengguna Aktif Responsif Promo
156,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,22.0,Semester 7,Rp3.000.000 atau lebih,Universitas Sanata Dharma,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,3.0,OVO,"DANA, ShopeePay, LinkAja",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Banyak merchant yang menerima e-wallet,Saat membeli makanan/minuman,Memengaruhi,Sering,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Cashback transaksi,Jumlah promo/cashback,Berniat,4.0,,4.5,4.5,4.5,4.25,4.25,4.5,3,False,3.0,22.0,7.0,6,4,4,2,4,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
157,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,23.0,Semester 9 atau lebih,Rp500.000 – Rp999.999,Universitas Islam Negeri Maulana Malik Ibrahim,"Sangat sering, lebih dari 10 kali dalam seminggu",Belanja online,4.0,ShopeePay,"GoPay, OVO, ShopeePay, LinkAja",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Mudah untuk belanja online,Saat belanja online,Sangat memengaruhi,Sering,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Pembayaran transportasi,Jumlah merchant yang menerima e-wallet,Berniat,4.0,,4.25,4.25,4.5,4.25,4.25,4.25,4,False,4.0,23.0,9.0,2,5,5,4,5,5,4,4,4.0,1,Pengguna Aktif Responsif Promo
158,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,18.0,Semester 2,Rp500.000 – Rp999.999,Universitas Negeri Jakarta,"Sering, 6–10 kali dalam seminggu",Transfer ke teman / orang lain,3.0,OVO,"DANA, GoPay, OVO, ShopeePay, LinkAja",2 tahun – kurang dari 3 tahun,Rp100.000 – Rp199.999,Rp500.000 – Rp999.999,Mudah untuk transfer uang,Saat transfer ke teman/keluarga,Memengaruhi,Sangat sering,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,Pembayaran UKT/kampus,Perlindungan data pribadi,Berniat,5.0,,4.5,4.5,4.5,4.5,4.5,4.75,5,False,3.0,18.0,2.0,2,4,4,4,4,4,5,4,5.0,1,Pengguna Aktif Responsif Promo
159,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 6,Rp1.500.000 – Rp1.999.999,Universitas Lambung Mangkurat,"Sering, 6–10 kali dalam seminggu",Belanja online,3.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay",2 tahun – kurang dari 3 tahun,Rp50.000 – Rp99.999,Rp500.000 – Rp999.999,Mudah untuk belanja online,Saat belanja online,Memengaruhi,Sering,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,Transfer gratis,Biaya admin,Berniat,5.0,,4.0,4.5,4.0,4.25,4.5,4.25,4,False,3.0,21.0,6.0,4,4,4,3,4,4,4,4,5.0,1,Pengguna Aktif Responsif Promo
160,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,21.0,Semester 5,Rp2.000.000 – Rp2.999.999,Universitas PGRI Madiun,"Cukup sering, 3–5 kali dalam seminggu",Belanja online,2.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay",1 tahun – kurang dari 2 tahun,Rp50.000 – Rp99.999,Rp300.000 – Rp499.999,Mudah untuk belanja online,Saat belanja online,Memengaruhi,Sering,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,Cashback transaksi,Jumlah promo/cashback,Berniat,4.0,,4.75,4.0,4.5,4.75,4.25,5.0,4,False,2.0,21.0,5.0,5,3,3,3,3,4,4,4,4.0,1,Pengguna Aktif Responsif Promo
161,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,19.0,Semester 2,Rp2.000.000 – Rp2.999.999,Universitas Syiah Kuala,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,3.0,DANA,"DANA, GoPay, OVO, ShopeePay, LinkAja",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Praktis dan cepat,Saat membeli makanan/minuman,Memengaruhi,Sangat sering,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,Riwayat transaksi yang jelas,Perlindungan data pribadi,Berniat,5.0,,4.25,4.5,4.25,4.5,4.5,4.5,5,False,3.0,19.0,2.0,5,4,4,2,4,4,5,4,5.0,1,Pengguna Aktif Responsif Promo
162,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,20.0,Semester 3,Rp500.000 – Rp999.999,Universitas Pembangunan Nasional Veteran Jatim,"Sering, 6–10 kali dalam seminggu",Pembelian makanan/minuman,3.0,GoPay,"DANA, GoPay, OVO, ShopeePay",2 tahun – kurang dari 3 tahun,Rp25.000 – Rp49.999,Rp500.000 – Rp999.999,Banyak merchant yang menerima e-wallet,Saat membeli makanan/minuman,Sangat memengaruhi,Sangat sering,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,Top-up mudah dan murah,Kemudahan top-up,Sangat berniat,4.0,,4.25,4.5,4.0,4.5,4.25,4.0,4,False,3.0,20.0,3.0,2,4,4,2,4,5,5,5,4.0,1,Pengguna Aktif Responsif Promo
163,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,21.0,Semester 5,Rp2.000.000 – Rp2.999.999,Universitas Negeri Malang,"Sangat sering, lebih dari 10 kali dalam seminggu",Pembelian makanan/minuman,5.0,DANA,"DANA, GoPay, OVO, ShopeePay, Sakuku",3 tahun atau lebih,Rp50.000 – Rp99.999,Rp1.000.000 atau lebih,Praktis dan cepat,Saat ada promo/cashback,Memengaruhi,Sering,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Transfer gratis,Biaya admin,Sangat berniat,4.0,,3.5,4.0,4.25,4.75,4.75,4.75,5,False,5.0,21.0,5.0,5,5,5,3,5,4,4,5,4.0,1,Pengguna Aktif Responsif Promo
164,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,19.0,Semester 2,Rp1.500.000 – Rp1.999.999,Universitas Hasanuddin,"Sangat sering, lebih dari 10 kali dalam seminggu",Belanja online,5.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay, LinkAja",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Banyak promo/cashback,Saat belanja online,Sangat memengaruhi,Sering,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,Pembayaran UKT/kampus,Perlindungan data pribadi,Sangat berniat,4.0,,4.25,4.75,4.25,4.5,4.5,4.0,5,False,5.0,19.0,2.0,4,5,5,4,5,5,4,5,4.0,1,Pengguna Aktif Responsif Promo
165,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,20.0,Semester 5,Rp3.000.000 atau lebih,Universitas Airlangga,"Sangat sering, lebih dari 10 kali dalam seminggu",Belanja online,4.0,ShopeePay,"DANA, GoPay, ShopeePay, LinkAja",3 tahun atau lebih,Rp100.000 – Rp199.999,Rp1.000.000 atau lebih,Mudah untuk belanja online,Saat belanja online,Sangat memengaruhi,Sangat sering,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,Transfer gratis,Biaya admin,Sangat berniat,4.0,,4.75,4.5,4.25,4.75,4.25,4.5,4,False,4.0,20.0,5.0,6,5,5,4,5,5,5,5,4.0,1,Pengguna Aktif Responsif Promo
166,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Laki-Laki,20.0,Semester 3,Rp3.000.000 atau lebih,Universitas Negeri Surabaya,"Sangat sering, lebih dari 10 kali dalam seminggu",Pembelian makanan/minuman,5.0,DANA,"DANA, GoPay, OVO, ShopeePay, Sakuku",3 tahun atau lebih,Rp50.000 – Rp99.999,Rp1.000.000 atau lebih,Praktis dan cepat,Saat ada promo/cashback,Sangat memengaruhi,Sangat sering,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,Pembayaran transportasi,Jumlah merchant yang menerima e-wallet,Berniat,4.0,,4.5,4.5,4.75,4.25,5.0,4.25,5,False,5.0,20.0,3.0,6,5,5,3,5,5,5,4,4.0,1,Pengguna Aktif Responsif Promo
167,"Ya, saya bersedia","Ya, saya memenuhi seluruh kriteria tersebut",Perempuan,18.0,Semester 1,Rp500.000 – Rp999.999,Institut Teknologi Bandung,"Sering, 6–10 kali dalam seminggu",Belanja online,3.0,ShopeePay,"DANA, GoPay, OVO, ShopeePay",2 tahun – kurang dari 3 tahun,Rp50.000 – Rp99.999,Rp500.000 – Rp999.999,Mudah untuk belanja online,Saat ada promo/cashback,Sangat memengaruhi,Sangat sering,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,Riwayat transaksi yang jelas,Perlindungan data pribadi,Berniat,4.0,,4.5,4.75,4.5,4.75,4.5,4.5,4,False,3.0,18.0,1.0,2,4,4,3,4,5,5,4,4.0,1,Pengguna Aktif Responsif Promo
